Name,ID#,,,,,,,,,,,,,,
triethylamine,1,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,-0.301362011,-0.576292831,,,,,,,,,,,,
n-heptane,2,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,-0.250565322,-0.532136025,-0.783395036,,,,,,,,,,,
n-propyl acetate,3,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,-0.206376971,-0.500920854,-0.757154503,,,,,,,,,,,
toluene,4,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.016670542,-0.272127121,-0.522482263,-0.739219117,-0.935240621,,,,,,,,,
pyridine,5,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,-0.07210733,-0.354444081,-0.598870609,-0.80914167,,,,,,,,,,
n-butyl acetate,6,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.164042765,-0.165285328,-0.449108289,-0.695377003,-0.915315361,,,,,,,,,
n-octane,7,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.116800784,-0.199687394,-0.474177584,-0.712386514,-0.92716049,,,,,,,,,
n-pentyl acetate,8,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.528060308,0.16137662,-0.154740996,-0.427449183,-0.669227674,-0.880596439,,,,,,,,
pentan-2-one,9,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,-0.297643259,-0.575325582,,,,,,,,,,,,
hexan-2-one,10,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.076262809,-0.235722719,-0.504720534,-0.739219117,,,,,,,,,,
ethylbenzene,11,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.348995639,0.027096573,-0.25129778,-0.494021096,-0.710952008,-0.900299774,-1.078233449,,,,,,,
heptan-2-one,12,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.442093819,0.092402591,-0.208463053,-0.469968443,-0.70132736,-0.905832262,,,,,,,,
n-nonane,13,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.480155193,0.12653331,-0.17908675,-0.445164556,-0.681556861,-0.889441846,,,,,,,,
n-hexyl acetate,14,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.88748704,0.483034562,0.135012639,-0.16664012,-0.43239053,-0.66545371,-0.870085977,-1.054295698,,,,,,
octan-2-one,15,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.804169096,0.416334069,0.082452501,-0.207275258,-0.462216514,-0.685098518,-0.881938803,-1.0593165,,,,,,
n-decane,16,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.841245733,0.44895822,0.110391676,-0.184273387,-0.443418765,-0.671903747,-0.875126201,-1.056798843,,,,,,
"N,N-dimethylisobutyramide",17,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.735594333,0.357574624,0.032857736,-0.249113503,-0.497207377,-0.713946736,-0.904848083,-1.074736859,,,,,,
phenol,18,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.75542114,0.364399073,0.032628254,-0.252538218,-0.499444092,-0.713946736,-0.903042282,-1.069535665,,,,,,
linalool,19,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.195302489,0.768740869,0.400834521,0.081680681,-0.198414096,-0.442539207,-0.658718957,-0.849240743,-1.020845019,,,,,
n-butylbenzene,20,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.029169342,0.634864461,0.294475364,-0.00216336,-0.263521323,-0.494241393,-0.695109723,-0.876543655,-1.039377729,,,,,
aniline,21,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.749405739,0.383769661,0.069730468,-0.202581469,-0.441897489,-0.653064309,-0.836353005,-1.00037872,-1.15843959,,,,,
"N,N-diethylacetamide",22,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,0.82052727,0.436039665,0.106262584,-0.179100373,-0.42963576,-0.648937964,-0.839455121,-1.009287638,,,,,,
nonan-2-one,23,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.165763526,0.738992047,0.371549373,0.052861214,-0.226909982,-0.472504606,-0.686268818,-0.878204439,-1.05381544,,,,,
n-undecane,24,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.200056706,0.769083128,0.397058435,0.073624943,-0.211236852,-0.461697343,-0.680833272,-0.876543655,-1.056269088,,,,,
acetophenone,25,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.060748662,0.666173354,0.325587488,0.029710829,-0.230918266,-0.459700583,-0.659746874,-0.838478913,-1.000899421,,,,,
decane-2-one,26,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.52486844,1.059396351,0.658670719,0.310889808,0.005891259,-0.261598634,-0.494774161,-0.702668189,-0.89055325,-1.059975509,,,,
n-octyl acetate,27,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.122945423,0.708298378,0.349294327,0.034350154,-0.241051071,-0.482285599,-0.69605444,-0.88720607,-1.059975509,,,,
n-dodecane,28,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.087965845,0.682475804,0.329954975,0.020127933,-0.251614413,-0.489179307,-0.700452396,-0.892236564,-1.064882844,,,,
propiophenone,29,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.401652608,0.96913539,0.595975732,0.271207914,-0.014173204,-0.264554466,-0.483655615,-0.677844605,-0.853535398,-1.011542435,,,,
naphthalene,30,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,1.439751852,1.023403946,0.662989676,0.348326,0.070614793,-0.173874981,-0.388533107,-0.579677589,-0.752174193,-0.90727499,-1.046781956,,,
butyrophenone,31,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.235316063,0.833521356,0.48450846,0.178349214,-0.090870846,-0.32684689,-0.535664903,-0.724698326,-0.890439763,-1.042137051,-1.19095426,,
undecan-2-one,32,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.378651474,0.943716509,0.566866194,0.236841077,-0.052042058,-0.305395889,-0.528914076,-0.730465933,-0.908994971,-1.070782232,,,
n-tridecane,33,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.405377722,0.965935906,0.584415189,0.249678967,-0.043808741,-0.301771083,-0.528914076,-0.733963626,-0.915943831,-1.080766453,,,
n-decyl acetate,34,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.275276016,0.857849872,0.492631406,0.173427988,-0.106051092,-0.353692027,-0.574172746,-0.768816267,-0.943382897,-1.106444181,-1.257424161,
valerophenone,35,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.116922706,0.735844708,0.404414448,0.113355638,-0.14231327,-0.367841324,-0.570943776,-0.750488886,-0.913174379,-1.063609454,-1.198505224,
dodecan-2-one,36,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.227588183,0.821552211,0.466033637,0.154635366,-0.118297871,-0.358692594,-0.574983754,-0.766327467,-0.937896999,-1.098571558,-1.250063061,
n-tetradecane,37,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.248229541,0.837590944,0.477452591,0.161678999,-0.115350493,-0.359195833,-0.578243015,-0.772576416,-0.947079042,-1.111773014,-1.264912182,
indole,38,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,1.345763257,0.936622587,0.582472033,0.272883146,0.001872282,-0.235372544,-0.444615082,-0.633091683,-0.799850501,-0.948938979,-1.088291919,-1.208338727,
tridecan-2-one,39,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.509642791,1.074677975,0.693557523,0.359702469,0.067492978,-0.190638572,-0.421382564,-0.62555015,-0.808439028,-0.978865348,-1.12971037,
n-pentadecane,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.089432244,0.703739356,0.365798982,0.069224771,-0.192349742,-0.426542559,-0.633701902,-0.819365252,-0.992908426,-1.146633075,
n-hexadecane,41,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,1.340016446,0.929034412,0.568568667,0.252566732,-0.02652772,-0.276048344,-0.496915755,-0.694241492,-0.875929561,-1.038167678,-1.199470754
pentadecan-2-one,42,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,1.146944366,0.766383512,0.434765203,0.141574685,-0.119270327,-0.351450679,-0.558296874,-0.764034052,-0.915296353,-1.074532017
coumarin,43,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,1.306136482,0.926888417,0.596237056,0.301160759,0.043685381,-0.184924863,-0.389611454,-0.571749471,-0.735567501,-0.913347636,-1.021824557,-1.150827575
n-heptadecane,44,60,80,100,120,140,160,180,200,220,240,260,280,300,320
