id,2,,,,,,,,,
Names,Aminohippurate,2-[(4-aminobenzoyl)amino]acetic acid,Aminohippuric acid,4-Aminohippuric acid,p-Aminohippuric acid,N-(4-aminobenzoyl)glycine,,,,
SMILES,c1cc(ccc1C(=O)NCC(=O)O)N,,,,,,,,,
InChI,"InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)",,,,,,,,,
InChIKey,HSMNQINEKMPTIC-UHFFFAOYSA-N,,,,,,,,,
IUPAC Name,2-[(4-aminobenzoyl)amino]acetic acid,,,,,,,,,
PubChem ID,2148,,,,,,,,,
ChemSpider ID,2063,,,,,,,,,
Retention Data,,,,,,,,,,
concentration,0.05,0.1,0.2,0.3,,,,,,
log k,0.027829094,-0.360744404,-0.853370566,-1.019971081,,,,,,
,,,,,,,,,,
id,3,,,,,,,,,
Names,2-aminobenzoic acid,2-azaniumylbenzoate,,,,,,,,
SMILES,c1ccc(c(c1)C(=O)O)N,,,,,,,,,
InChI,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",,,,,,,,,
InChIKey,RWZYAGGXGHYGMB-UHFFFAOYSA-N,,,,,,,,,
IUPAC Name,"2-aminobenzoic acid2-azaniumylbenzoate",,,,,,,,,
PubChem ID,3734162,,,,,,,,,
ChemSpider ID,222,,,,,,,,,
Retention Data,,,,,,,,,,
concentration,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,
log k,1.119556677,0.892290907,0.485621952,0.181747267,-0.068822795,-0.267936556,-0.449969009,-0.632204133,-0.691567078,
,,,,,,,,,,
id,605,,,,,,,,,
Names,Caffeine,"1,3,7-trimethylpurine-2,6-dione",Methyltheobromine,Guaranine,"1,3,7-trimethylxanthine",Cafeina,,,,
SMILES,Cn1cnc2c1c(=O)n(c(=O)n2C)C,,,,,,,,,
InChI,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",,,,,,,,,
InChIKey,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,,,,,,,,
IUPAC Name,"1,3,7-trimethylpurine-2,6-dione",,,,,,,,,
PubChem ID,2519,,,,,,,,,
ChemSpider ID,2424,,,,,,,,,
Retention Data,,,,,,,,,,
concentration,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,
log k,1.182850843,0.601512676,-0.131623347,-0.458028313,-0.742238694,-0.816751035,-0.964552655,-1.120320772,-1.181097591,
,,,,,,,,,,
id,9,,,,,,,,,
Names,Diethyl malonate,Diethyl propanedioate,"Propanedioic acid, diethyl ester",Malonic ester,,,,,,
SMILES,CCOC(=O)CC(=O)OCC,,,,,,,,,
InChI,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",,,,,,,,,
InChIKey,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,,,,,,,,,
IUPAC Name,Diethyl propanedioate,,,,,,,,,
PubChem ID,7761,,,,,,,,,
ChemSpider ID,13863636,,,,,,,,,
Retention Data,,,,,,,,,,
concentration,0.2,0.3,0.4,0.5,0.6,0.7,,,,
log k,0.974570033,0.651038319,0.362053272,0.124301474,-0.067371528,-0.289781452,,,,
,,,,,,,,,,
id,10,,,,,,,,,
Names,Dimethyl malonate,Dimethyl propanedioate,Methyl malonate,"Propanedioic acid, dimethyl ester",,,,,,
SMILES,COC(=O)CC(=O)OC,,,,,,,,,
InChI,"InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3H2,1-2H3",,,,,,,,,
InChIKey,BEPAFCGSDWSTEL-UHFFFAOYSA-N,,,,,,,,,
IUPAC Name,Dimethyl propanedioate,,,,,,,,,
PubChem ID,7943,,,,,,,,,
ChemSpider ID,21106102,,,,,,,,,
Retention Data,,,,,,,,,,
concentration,0.05,0.1,0.2,0.3,0.4,,,,,
